User_ID     ,Username       ,Password ,Role
U_SHOP_001  ,shop_hcm_1     ,123      ,SHOP
U_SHOP_002  ,shop_hcm_2     ,123      ,SHOP
U_SHOP_003  ,shop_hcm_3     ,123      ,SHOP
U_SHOP_004  ,shop_hcm_4     ,123      ,SHOP
U_SHOP_005  ,shop_hcm_5     ,123      ,SHOP
U_SHOP_006  ,shop_hcm_6     ,123      ,SHOP
U_SHOP_007  ,shop_hcm_7     ,123      ,SHOP
U_SHOP_008  ,shop_hcm_8     ,123      ,SHOP
U_SHOP_009  ,shop_hcm_9     ,123      ,SHOP
U_SHOP_010  ,shop_hcm_10    ,123      ,SHOP
U_SHIP_001  ,shipper_hcm_1  ,123      ,SHIPPER
U_SHIP_002  ,shipper_hcm_2  ,123      ,SHIPPER
U_SHIP_003  ,shipper_hcm_3  ,123      ,SHIPPER
U_SHIP_004  ,shipper_hcm_4  ,123      ,SHIPPER
U_SHIP_005  ,shipper_hcm_5  ,123      ,SHIPPER
U_SHIP_006  ,shipper_hcm_6  ,123      ,SHIPPER
U_SHIP_007  ,shipper_hcm_7  ,123      ,SHIPPER
U_SHIP_008  ,shipper_hcm_8  ,123      ,SHIPPER
U_SHIP_009  ,shipper_hcm_9  ,123      ,SHIPPER
U_SHIP_010  ,shipper_hcm_10 ,123      ,SHIPPER
U_SHIP_011  ,shipper_hcm_11 ,123      ,SHIPPER
U_SHIP_012  ,shipper_hcm_12 ,123      ,SHIPPER
U_SHIP_013  ,shipper_hcm_13 ,123      ,SHIPPER
U_SHIP_014  ,shipper_hcm_14 ,123      ,SHIPPER
U_SHIP_015  ,shipper_hcm_15 ,123      ,SHIPPER
U_ADMIN_001 ,admin_hcm_1    ,admin    ,ADMIN
U_ADMIN_002 ,admin_hcm_2    ,admin    ,ADMIN
U_ADMIN_003 ,admin_hcm_3    ,admin    ,ADMIN
